serial,name,county,school,batch,detail-link
0030-1,忠孝樓,臺東縣,國立臺東大學,103年自籌,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=0030&bid=1&blank
010301-1,工藝館,新北市,國立華僑高級中等學校,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010301&bid=1&blank
010301-2,藝能館,新北市,國立華僑高級中等學校,99年6批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010301&bid=2&blank
010301-3,圖書館,新北市,國立華僑高級中等學校,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010301&bid=3&blank
010301-7,梅園宿舍,新北市,國立華僑高級中等學校,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010301&bid=7&blank
010301-8,科學館,新北市,國立華僑高級中等學校,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010301&bid=8&blank
010301-9,學生活動中心,新北市,國立華僑高級中等學校,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010301&bid=9&blank
010301-13,行政大樓,新北市,國立華僑高級中等學校,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010301&bid=13&blank
010301-14,中正堂,新北市,國立華僑高級中等學校,98年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010301&bid=14&blank
010301-16,松園宿舍左棟,新北市,國立華僑高級中等學校,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010301&bid=16&blank
010301-17,松園宿舍右棟,新北市,國立華僑高級中等學校,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010301&bid=17&blank
010301-18,松園宿舍前棟,新北市,國立華僑高級中等學校,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010301&bid=18&blank
010301-19,松園宿舍後棟,新北市,國立華僑高級中等學校,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010301&bid=19&blank
010303-2,日新樓,新北市,市立泰山高中,99年5批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010303&bid=2&blank
010303-3,莊敬樓,新北市,市立泰山高中,99年5批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010303&bid=3&blank
010303-9,求美樓,新北市,市立泰山高中,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010303&bid=9&blank
010303-10,求真樓,新北市,市立泰山高中,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010303&bid=10&blank
010303-14,女生宿舍,新北市,市立泰山高中,101年11批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010303&bid=14&blank
010303-15,男生宿舍,新北市,市立泰山高中,101年11批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010303&bid=15&blank
010303-19,明德樓左棟,新北市,市立泰山高中,98年3批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010303&bid=19&blank
010303-20,明德樓右棟,新北市,市立泰山高中,98年3批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010303&bid=20&blank
010304-6,自強樓,新北市,市立板橋高中,106年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010304&bid=6&blank
010304-9,行政大樓,新北市,市立板橋高中,107年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010304&bid=9&blank
010304-10,覺樓,新北市,市立板橋高中,106年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010304&bid=10&blank
010304-12,合群樓,新北市,市立板橋高中,107年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010304&bid=12&blank
010336-1,行政大樓,新北市,市立中和高中,100年11批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010336&bid=1&blank
010336-2,至誠樓,新北市,市立中和高中,100年11批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010336&bid=2&blank
010336-3,宿舍,新北市,市立中和高中,100年11批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010336&bid=3&blank
010336-4,圖書館,新北市,市立中和高中,100年11批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010336&bid=4&blank
010336-8,通達樓,新北市,市立中和高中,100年11批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010336&bid=8&blank
010336-9,中和樓,新北市,市立中和高中,100年11批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010336&bid=9&blank
010336-12,謙融樓,新北市,市立中和高中,100年11批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010336&bid=12&blank
010337-1,教學大樓及圖書館,新北市,市立新莊高中,106年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010337&bid=1&blank
010402-2,學生宿舍,新北市,市立瑞芳高工,98年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=2&blank
010402-3,學海樓,新北市,市立瑞芳高工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=3&blank
010402-4,中正堂,新北市,市立瑞芳高工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=4&blank
010402-5,春暉樓,新北市,市立瑞芳高工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=5&blank
010402-6,莊敬樓,新北市,市立瑞芳高工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=6&blank
010402-7,陽明樓,新北市,市立瑞芳高工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=7&blank
010402-10,自強樓,新北市,市立瑞芳高工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=10&blank
010402-14,建興樓,新北市,市立瑞芳高工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=14&blank
010402-15,行政大樓,新北市,市立瑞芳高工,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=15&blank
010402-16,繼光樓,新北市,市立瑞芳高工,98年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=16&blank
010402-17,舊電機樓工廠,新北市,市立瑞芳高工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=17&blank
010402-18,勤毅樓,新北市,市立瑞芳高工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=18&blank
010402-19,勵志樓,新北市,市立瑞芳高工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=19&blank
010402-21,員工眷屬宿舍,新北市,市立瑞芳高工,99年8批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=21&blank
010402-22,員工眷屬宿舍二,新北市,市立瑞芳高工,99年8批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=22&blank
010402-23,人事職務宿舍,新北市,市立瑞芳高工,99年8批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=23&blank
010402-27,建興樓2、3,新北市,市立瑞芳高工,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=27&blank
010430-1,機械大樓,新北市,市立三重商工,98年3批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010430&bid=1&blank
010430-2,信義樓,新北市,市立三重商工,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010430&bid=2&blank
010430-3,仁愛樓,新北市,市立三重商工,98年3批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010430&bid=3&blank
010430-4,忠孝樓,新北市,市立三重商工,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010430&bid=4&blank
010430-20,機圖科,新北市,市立三重商工,107年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010430&bid=20&blank
010433-1,機圖科大樓,新北市,市立新北高工,99年5批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=1&blank
010433-4,模具科大樓,新北市,市立新北高工,99年5批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=4&blank
010433-6,電機科大樓,新北市,市立新北高工,99年5批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=6&blank
010433-7,圖書館,新北市,市立新北高工,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=7&blank
010433-8,行政大樓,新北市,市立新北高工,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=8&blank
010433-9,教學大樓(一),新北市,市立新北高工,98年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=9&blank
010433-11,男生宿舍,新北市,市立新北高工,98年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=11&blank
010433-12,幼稚園,新北市,市立新北高工,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=12&blank
010433-13,汽車科大樓,新北市,市立新北高工,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=13&blank
010433-14,教學大樓(二),新北市,市立新北高工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=14&blank
010433-16,機械科大樓左棟,新北市,市立新北高工,98年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=16&blank
010433-17,機械科大樓右棟,新北市,市立新北高工,98年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=17&blank
010434-1,資訊控制大樓,新北市,市立淡水商工,98年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010434&bid=1&blank
010434-3,商科教學大樓,新北市,市立淡水商工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010434&bid=3&blank
010434-4,活動中心,新北市,市立淡水商工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010434&bid=4&blank
010434-5,圖書館,新北市,市立淡水商工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010434&bid=5&blank
010434-6,餐飲教學大樓,新北市,市立淡水商工,98年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010434&bid=6&blank
010434-8,學生宿舍,新北市,市立淡水商工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010434&bid=8&blank
010434-10,園藝實習中心,新北市,市立淡水商工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010434&bid=10&blank
