id,name,county
0,國立臺東大學,臺東縣
1,國立華僑高級中等學校,新北市
2,市立泰山高中,新北市
3,市立板橋高中,新北市
4,市立中和高中,新北市
5,市立新莊高中,新北市
6,市立瑞芳高工,新北市
7,市立三重商工,新北市
8,市立新北高工,新北市
9,市立淡水商工,新北市
10,市立海山高中,新北市
11,市立三重高中,新北市
12,市立永平高中,新北市
13,市立樹林高中,新北市
14,市立明德高中,新北市
15,市立秀峰高中,新北市
16,市立金山高中,新北市
17,市立安康高中,新北市
18,市立雙溪高中,新北市
19,市立石碇高中,新北市
20,市立清水高中,新北市
21,市立三民高中,新北市
22,市立板橋國中,新北市
23,市立重慶國中,新北市
24,市立江翠國中,新北市
25,市立中山國中,新北市
26,市立新埔國中,新北市
27,市立新莊國中,新北市
28,市立新泰國中,新北市
29,市立福營國中,新北市
30,市立頭前國中,新北市
31,市立光榮國中,新北市
32,市立明志國中,新北市
33,市立碧華國中,新北市
34,市立永和國中,新北市
35,市立福和國中,新北市
36,市立中和國中,新北市
37,市立積穗國中,新北市
38,市立漳和國中,新北市
39,市立鶯歌國中,新北市
40,市立柑園國中,新北市
41,市立土城國中,新北市
42,市立三峽國中,新北市
43,市立八里國中,新北市
44,市立泰山國中,新北市
45,市立五股國中,新北市
46,市立蘆洲國中,新北市
47,市立林口國中,新北市
48,市立淡水國中,新北市
49,市立三芝國中,新北市
50,市立石門國中,新北市
51,市立萬里國中,新北市
52,市立坪林國中,新北市
53,市立文山國中,新北市
54,市立五峰國中,新北市
55,市立瑞芳國中,新北市
56,市立欽賢國中,新北市
57,市立欽賢國中(鼻頭分部),新北市
58,市立貢寮國中,新北市
59,市立深坑國中,新北市
60,市立平溪國中,新北市
61,市立烏來國中(小),新北市
62,市立溪崑國中,新北市
63,市立自強國中,新北市
64,市立中正國中,新北市
65,市立中平國中,新北市
66,市立鳳鳴國中,新北市
67,市立三和國中,新北市
68,市立光復高中,新北市
69,市立尖山國中,新北市
70,市立正德國中,新北市
71,市立正德國中(賢孝校區),新北市
72,市立樟樹國際實創高中,新北市
73,市立育林國中,新北市
74,市立青山國中(小),新北市
75,市立二重國中,新北市
76,市立大觀國中,新北市
77,市立忠孝國中,新北市
78,市立國光國小,新北市
79,市立新埔國小,新北市
80,市立埔墘國小,新北市
81,市立莒光國小,新北市
82,市立後埔國小,新北市
83,市立江翠國小,新北市
84,市立文聖國小,新北市
85,市立沙崙國小,新北市
86,市立文德國小,新北市
87,市立樹林國小,新北市
88,市立文林國小,新北市
89,市立大同國小,新北市
90,市立山佳國小,新北市
91,市立鶯歌國小,新北市
92,市立二橋國小,新北市
93,市立中湖國小,新北市
94,市立鳳鳴國小,新北市
95,市立三峽國小,新北市
96,市立大埔國小,新北市
97,市立民義國小,新北市
98,市立成福國小,新北市
99,市立建安國小,新北市
100,市立插角國小,新北市
101,市立插角國小(金敏分校),新北市
102,市立五寮國小,新北市
103,市立中和國小,新北市
104,市立復興國小,新北市
105,市立興南國小,新北市
106,市立秀山國小,新北市
107,市立積穗國小,新北市
108,市立自強國小,新北市
109,市立錦和國小,新北市
110,市立景新國小,新北市
111,市立永和國小,新北市
112,市立秀朗國小,新北市
113,市立網溪國小,新北市
114,市立永平國小,新北市
115,市立土城國小,新北市
116,市立清水國小,新北市
117,市立頂埔國小,新北市
118,市立廣福國小,新北市
119,市立汐止國小,新北市
120,市立長安國小,新北市
121,市立崇德國小,新北市
122,市立北峰國小,新北市
123,市立白雲國小(碧雲分校),新北市
124,市立大坪國小(溪底分班),新北市
125,市立中角國小,新北市
126,市立三和國小,新北市
127,市立新店國小,新北市
128,市立直潭國小,新北市
129,市立大豐國小,新北市
130,市立中正國小,新北市
131,市立安坑國小,新北市
132,市立雙城國小,新北市
133,市立屈尺國小,新北市
134,市立屈尺國小(廣興分校),新北市
135,市立龜山國小,新北市
136,市立深坑國小,新北市
137,市立和平國小,新北市
138,市立永定國小,新北市
139,市立坪林國小,新北市
140,市立坪林國小(漁光分校),新北市
141,市立坪林國小(闊瀨分校),新北市
142,市立福山國小,新北市
143,市立瑞柑國小,新北市
144,市立九份國小,新北市
145,市立瓜山國小,新北市
146,市立濂洞國小,新北市
147,市立瑞亭國小,新北市
148,市立吉慶國小,新北市
149,市立鼻頭國小,新北市
150,市立雙溪國小,新北市
151,市立柑林國小,新北市
152,市立貢寮國小,新北市
153,市立澳底國小,新北市
154,市立和美國小,新北市
155,市立福連國小,新北市
156,市立十分國小,新北市
157,市立淡水國小,新北市
158,市立文化國小,新北市
159,市立天生國小,新北市
160,市立水源國小,新北市
161,市立興仁國小,新北市
162,市立忠山國小,新北市
163,市立竹圍國小,新北市
164,市立石門國小,新北市
165,市立乾華國小,新北市
166,市立老梅國小,新北市
167,市立橫山國小,新北市
168,市立新莊國小,新北市
169,市立中港國小,新北市
170,市立思賢國小,新北市
171,市立頭前國小,新北市
172,市立國泰國小,新北市
173,市立豐年國小,新北市
174,市立丹鳳國小,新北市
175,市立光華國小,新北市
176,市立民安國小,新北市
177,市立昌隆國小,新北市
178,市立泰山國小,新北市
179,市立明志國小,新北市
180,市立成州國小,新北市
181,市立更寮國小,新北市
182,市立五股國小,新北市
183,市立蘆洲國小,新北市
184,市立鷺江國小,新北市
185,市立八里國小,新北市
186,市立米倉國小,新北市
187,市立林口國小,新北市
188,市立嘉寶國小,新北市
189,市立瑞平國小,新北市
190,市立厚德國小,新北市
191,市立碧華國小,新北市
192,市立光興國小,新北市
193,市立正義國小,新北市
194,市立二重國小,新北市
195,市立中山國小,新北市
196,市立三多國小,新北市
197,市立實踐國小,新北市
198,市立大觀國小,新北市
199,市立溪洲國小,新北市
200,市立信義國小,新北市
201,市立重慶國小,新北市
202,市立樂利國小,新北市
203,市立安和國小,新北市
204,市立彭福國小,新北市
205,市立育林國小,新北市
206,市立建國國小,新北市
207,市立安溪國小,新北市
208,市立樟樹國小,新北市
209,市立金美國小,新北市
210,市立新和國小,新北市
211,市立重陽國小,新北市
212,市立五華國小,新北市
213,市立成功國小,新北市
214,市立仁愛國小,新北市
215,市立榮富國小,新北市
216,市立裕民國小,新北市
217,市立新泰國小,新北市
218,市立中信國小,新北市
219,市立德音國小,新北市
220,市立麗園國小,新北市
221,市立北新國小,新北市
222,市立同榮國小,新北市
223,市立秀峰國小,新北市
224,市立金龍國小,新北市
225,市立介壽國小,新北市
226,市立集美國小,新北市
227,市立永吉國小,新北市
228,市立義學國小,新北市
229,新北市立蘆洲幼兒園,新北市
230,國立蘭陽女中,宜蘭縣
231,國立宜蘭高中,宜蘭縣
232,國立羅東高中,宜蘭縣
233,國立羅東高商,宜蘭縣
234,國立蘇澳海事,宜蘭縣
235,國立羅東高工,宜蘭縣
236,國立頭城家商,宜蘭縣
237,國立臺東專科學校,臺東縣
238,縣立南澳高中,宜蘭縣
239,縣立宜蘭國中,宜蘭縣
240,縣立復興國中,宜蘭縣
241,縣立羅東國中,宜蘭縣
242,縣立東光國中,宜蘭縣
243,縣立國華國中,宜蘭縣
244,縣立蘇澳國中,宜蘭縣
245,縣立文化國中,宜蘭縣
246,縣立三星國中,宜蘭縣
